drug_id,drug_name,synonyms,pathway_name,targets,pubchem
1050,ZM447439,"ZM-447439, ZM 447439",Mitosis,"AURKA, AURKB",9914412
1058,Pictilisib,"GDC-0941, GDC0941, RG-7621","PI3K/MTOR signaling","PI3K (class 1)",17755052
199,Pazopanib,Votrient,"RTK signaling","CSF1R, KIT,  PDGFRA, PDGFRB",10113978
200,Dacinostat,"NVP-LAQ824, LAQ824","Chromatin histone acetylation",HDAC1,6445533
219,AT-7519,AT7519,"Cell cycle","CDK1, CDK2, CDK4, CDK6, CDK9",11338033
255,CP724714,CP-724714,"RTK signaling",ERBB2,9874913
257,NPK76-II-72-1,-,"Cell cycle",PLK3,none
260,NG-25,NG25,"Other, kinases","TAK1, MAP4K2",53340664
271,VNLG/124,"HDAC inhibitor XV","Chromatin histone acetylation","HDAC,RAR",24894414
410,"MetAP2 Inhibitor, A832234",-,Other,MetAP2,-
446,MIM1,-,"Apoptosis regulation",MCL-1,-
476,SB505124,"SB 505124, SB505124","RTK signaling","TGFBR1, ACVR1B, ACVR1C",-
546,FTY-720,"Fingolimod hydrochloride; Gilenya; TDI-132; Imusera; Gilenia",Other,S1P,-
1001,"AICA Ribonucleotide","AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide",Metabolism,"AMPK agonist",65110
1031,Elesclomol,STA-4783,"Protein stability and degradation",HSP90,300471
293,Amuvatinib,"MP470, MP 470, MP-470","RTK signaling","KIT, PDGFRA, FLT3",11282283
295,NVP-BHG712,BHG712,"RTK signaling",EPHB4,16747388
299,OSI-027,A-1065-5,"PI3K/MTOR signaling","MTORC1, MTORC2",44224160
3,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","PI3K/MTOR signaling",MTORC1,5384616
301,PHA-793887,"PHA793887, PHA 793887","Cell cycle","CDK2, CDK7, CDK5",46191454
284,JNJ38877605,-,"RTK signaling",MET,-
285,SU11274,-,"RTK signaling",MET,-
372,Pilaralisib,XL-147,"PI3K/MTOR signaling",PI3K,-
1129,PF-4708671,"PF 4708671, PF4708671","PI3K/MTOR signaling",S6K1,51371303
1175,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699","Genome integrity","PARP1, PARP2",9931953
1194,SB505124,"SB 505124, SB505124","RTK signaling","TGFBR1, ACVR1B, ACVR1C",9858940
1236,UNC0638,"UNC-0638, UNC 0683","Chromatin histone methylation","G9a and GLP methyltransferases",46224516
1242,(5Z)-7-Oxozeaenol,"5Z-7-Oxozeaenol, LL-Z1640-2","Other, kinases",TAK1,9863776
1262,UNC1215,UNC-1215,"Chromatin other",L3MBTL3,57339144
1266,ICL1100013,-,Other,"N-myristoyltransferase 1/2",-
1502,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",Hormone-related,AR,2375
152,CP466722,"CP-466722, CP 466722, 1080622-86-1","Genome integrity",ATM,44551660
1142,HG-5-113-01,-,Other,"LOK, LTK, TRCB, ABL(T315I)",none
1158,XMD11-85h,-,"Other, kinases","BRSK2, FLT4, MARK4, PRKCD, RET, SRPK1",none
1161,ZG-10,-,"JNK and p38 signaling",JNK1,none
1164,XMD8-92,"XMD 8-92","ERK MAPK signaling",MAPK7,46843772
59,WZ-1-84,KIN001-123,"Other, kinases",BMX,49821040
62,BMS-536924,"BMS 536924","IGF1R signaling","IGF1R, IR",10390396
91,GSK319347A,"KIN001-135, IKK-3 inhibitor","Other, kinases",IKK,11626927
461,NSC319726,-,"p53 pathway","P53 Mut specific",-
428,Pemetrexed,-,"DNA replication",TYMS,-
1053,MK-2206,"MK 2206, MK2206","PI3K/MTOR signaling","AKT1, AKT2",46930998
1062,Selumetinib,"AZD6244, AZD-6244, ARRY-886","ERK MAPK signaling","MEK1, MEK2",10127622
224,AS605240,"KIN001-173, AS-605240","PI3K/MTOR signaling",PI3Kgamma,5289247
163,JQ1,"JQ-1, (+)-JQ-1","Chromatin other","BRD2, BRD3, BRD4, BRDT",46907787
164,JQ12,-,"Chromatin histone acetylation","HDAC1, HDAC2",none
167,OSU-03012,"AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12",Metabolism,"PDK1 (PDPK1)",10027278
179,5-Fluorouracil,5-FU,Other,"Antimetabolite (DNA & RNA)",3385
249,Cabozantinib,"BMS-907351, XL-184, Cometriq","RTK signaling","VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",25102847
261,TL-1-85,-,"Other, kinases",TAK,none
262,VX-11e,"VX11e, VX11e","ERK MAPK signaling",ERK2,11634725
264,ACY-1215,-,"Chromatin histone acetylation",HDAC6,-
272,AR-42,"HDAC-42, AR 42, AR42","Chromatin histone acetylation",HDAC1,6918848
432,Flavopiridol,-,"Cell cycle",CDK,-
435,C-75,-,"Apoptosis regulation",FAS,-
1017,Olaparib,"AZD2281, KU0059436,  Lynparza","Genome integrity","PARP1, PARP2",23725625
1018,Veliparib,"ABT-888, ABT888, ABT 888","Genome integrity","PARP1, PARP2",11960529
1019,Bosutinib,"SKI-606, Bosulif","Other, kinases","SRC, ABL, TEC",5328940
1023,GW441756,"GW 441756","RTK signaling",NTRK1,9943465
1043,"JNK Inhibitor VIII",-,"JNK and p38 signaling",JNK,11624601
1046,"Wee1 Inhibitor","681640, Wee1 Inhibitor","Cell cycle","WEE1, CHEK1",10384072
287,KIN001-244,"PDK1 inhibitor 7",Metabolism,"PDK1 (PDPK1)",56965967
294,MPS-1-IN-1,-,Mitosis,MPS1,25195352
30,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006","RTK signaling","PDGFR, KIT, VEGFR, RAF",216239
305,TPCA-1,-,"Other, kinases",IKK2,9903786
317,WYE-125132,-,"PI3K/MTOR signaling",mTOR,-
362,CI-1033,-,"RTK signaling","EGFR, ERBB2, ERBB4",-
381,AST-1306,-,"RTK signaling","EGFR, ERBB4",-
1072,Avagacestat,"BMS-708163, BMS 708163",Other,"Amyloid beta20, Amyloid beta40",46883536
1259,Talazoparib,"BMN-673, BMN 973","Genome integrity","PARP1, PARP2",44819241
1261,rTRAIL,-,"Apoptosis regulation","TRAIL receptor agonist",none
1378,"Bleomycin (50 uM)",-,"DNA replication","dsDNA break induction",5460769
110,Seliciclib,"Roscovitine, CYC-202, AL-39256","Cell cycle","CDK2, CDK7, CDK9",160355
1166,QL-VIII-58,-,Other,"MTOR, ATR",none
127,GSK269962A,"GSK 269962A",Cytoskeleton,"ROCK1, ROCK2",16095342
32,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",Mitosis,"AURKA, AURKB, AURKC, others",5494449
34,Imatinib,"Gleevec, STI-571","Other, kinases","ABL, KIT, PDGFR",5291
6,PHA-665752,"PHA665752, PHA 665752","RTK signaling",MET,10461815
87,GW843682X,"GW843682X (AN-13)","Cell cycle",PLK1,9826308
